timestamp,temp,humid
1440261729.791, 83.5, 49.8
1440261786.308, 83.5, 49.8
1440261845.839, 83.5, 49.9
1440261906.368, 83.5, 49.9
1440261990.740, 83.5, 49.9
1440262026.262, 83.5, 49.9
1440262082.244, 83.7, 49.9
1440262152.859, 83.5, 49.9
1440262209.936, 83.5, 49.9
1440262265.466, 83.5, 49.9
1440262333.091, 83.5, 50.0
1440262382.067, 83.7, 50.0
1440262452.688, 83.7, 49.9
1440262520.396, 83.5, 49.9
1440262562.381, 83.5, 49.9
1440262622.352, 83.7, 49.9
1440262707.158, 83.5, 49.9
1440262742.133, 83.5, 49.9
1440262809.203, 83.5, 49.9
1440262862.184, 83.5, 50.0
1440262925.712, 83.5, 50.0
1440262982.692, 83.5, 50.0
1440263042.674, 83.7, 50.0
1440263109.749, 83.7, 50.0
1440263176.906, 83.7, 49.9
1440263232.539, 83.7, 49.8
1440263289.609, 83.7, 49.8
1440263360.317, 83.7, 49.7
1440263412.941, 83.7, 49.7
1440263461.907, 83.7, 49.8
1440263543.159, 83.7, 49.8
1440263582.133, 83.7, 49.8
1440263642.108, 83.8, 49.9
1440263705.641, 83.7, 49.8
1440263769.709, 83.7, 50.0
1440263822.805, 83.7, 50.0
1440263900.531, 83.7, 50.1
1440263963.792, 83.7, 49.9
1440264020.520, 83.7, 49.8
1440264062.499, 83.8, 49.8
1440264122.470, 83.8, 49.6
1440264182.454, 83.8, 49.7
1440264245.978, 83.8, 49.7
1440264305.501, 83.7, 49.8
1440264373.119, 83.8, 49.7
1440264429.191, 83.8, 49.6
1440264510.550, 83.8, 49.7
1440264546.087, 83.8, 49.8
1440264602.076, 83.8, 49.9
1440264672.688, 83.8, 49.7
1440264747.505, 83.8, 49.6
1440264782.518, 84.0, 49.6
1440264842.524, 84.0, 49.5
1440264902.532, 83.8, 49.8
1440264966.088, 83.8, 49.7
1440265043.370, 83.7, 49.9
1440265082.367, 83.7, 50.0
1440265156.547, 83.7, 50.0
1440265202.553, 83.7, 50.0
1440265266.102, 83.8, 48.3
1440265329.201, 83.8, 49.6
1440265389.290, 83.7, 49.9
1440265445.837, 83.5, 50.3
1440265506.390, 83.7, 50.1
1440265565.938, 83.7, 50.0
1440265621.941, 83.7, 49.9
1440265681.939, 83.8, 49.9
1440265741.931, 83.8, 49.6
1440265823.221, 83.7, 50.0
1440265865.778, 83.7, 50.0
1440265929.880, 83.7, 50.0
1440265996.080, 83.8, 49.8
1440266042.084, 83.8, 49.9
1440266105.647, 83.8, 49.9
1440266173.300, 83.8, 49.9
1440266222.305, 83.8, 49.7
1440266307.141, 84.0, 49.6
1440266352.780, 84.0, 49.4
1440266416.971, 83.8, 49.6
1440266472.610, 83.8, 49.7
1440266526.160, 83.8, 49.5
1440266592.797, 83.8, 49.6
1440266656.988, 83.8, 49.7
1440266701.992, 83.8, 49.7
1440266761.991, 83.8, 49.3
1440266829.088, 83.8, 49.4
1440266885.639, 83.8, 49.0
1440266946.178, 83.8, 48.2
1440267034.119, 83.8, 46.9
1440267076.286, 83.8, 46.5
1440267129.398, 83.8, 46.0
1440267185.947, 83.8, 45.5
1440267241.950, 83.8, 44.8
1440267305.498, 83.7, 44.6
1440267362.501, 83.7, 45.2
1440267429.720, 83.5, 44.5
1440267486.277, 83.3, 44.9
1440267542.275, 83.3, 45.1
1440267609.371, 83.1, 45.1
1440267662.387, 83.1, 45.0
1440267725.942, 82.9, 44.8
1440267799.689, 82.9, 44.7
1440267881.708, 82.9, 44.5
1440267906.237, 82.8, 45.1
1440267965.789, 82.6, 44.6
1440268033.430, 82.6, 44.5
1440268089.520, 82.4, 45.3
1440268153.176, 82.2, 44.2
1440268205.728, 82.2, 43.8
1440268262.731, 82.2, 43.8
1440268326.274, 82.2, 44.0
1440268400.015, 82.2, 45.1
1440268445.571, 82.2, 45.6
1440268527.406, 82.2, 45.5
1440268573.048, 82.4, 45.8
1440268622.051, 82.6, 47.2
1440268685.609, 82.8, 47.9
1440268760.344, 82.8, 48.6
1440268802.341, 82.9, 48.5
1440268880.077, 82.8, 49.2
1440268932.713, 82.6, 48.5
1440268986.277, 82.6, 48.6
1440269042.285, 82.4, 48.4
1440269102.293, 82.2, 48.0
1440269176.490, 82.0, 48.3
1440269236.679, 81.9, 48.3
1440269282.684, 81.9, 47.6
1440269342.683, 81.9, 47.2
1440269406.238, 81.9, 47.0
1440269462.242, 81.7, 46.7
1440269525.799, 81.5, 46.2
1440269582.806, 81.7, 45.6
1440269642.803, 81.7, 46.7
1440269724.089, 81.9, 47.9
1440269765.634, 81.9, 48.3
1440269822.632, 82.0, 48.0
1440269889.733, 82.0, 48.3
1440269942.745, 82.0, 48.7
1440270006.309, 82.0, 49.0
1440270062.313, 82.2, 49.4
1440270129.412, 82.2, 49.6
1440270193.050, 82.4, 50.7
1440270245.608, 82.4, 50.7
1440270306.168, 82.4, 51.6
1440270362.172, 82.2, 50.0
1440270425.729, 82.2, 49.0
1440270482.731, 82.2, 48.1
1440270553.369, 82.0, 47.6
1440270609.471, 82.0, 47.4
1440270662.484, 82.0, 46.9
1440270729.582, 82.0, 46.2
1440270789.680, 82.0, 46.2
1440270849.778, 82.0, 46.0
1440270909.882, 81.9, 46.8
1440270983.170, 81.9, 47.3
1440271025.839, 81.9, 47.9
1440271086.387, 82.0, 48.5
1440271142.392, 82.0, 48.5
1440271205.946, 82.0, 49.1
1440271276.140, 82.0, 49.5
1440271322.152, 82.0, 49.8
1440271382.153, 82.0, 50.8
1440271459.890, 82.0, 51.0
1440271505.437, 82.0, 50.8
1440271562.448, 82.0, 51.0
1440271643.735, 82.2, 52.2
1440271693.390, 82.2, 51.7
1440271742.402, 82.2, 52.2
1440271805.961, 82.0, 51.8
1440271861.963, 82.0, 51.6
1440271943.251, 82.0, 51.7
1440271982.256, 82.2, 51.9
1440272042.253, 82.2, 52.7
1440272102.256, 82.2, 53.3
1440272162.262, 82.2, 53.7
1440272222.265, 82.2, 53.5
1440272282.267, 82.2, 52.6
1440272342.265, 82.0, 53.9
1440272412.908, 82.0, 53.6
1440272461.913, 82.2, 53.7
1440272525.460, 82.2, 53.8
1440272589.564, 82.0, 54.2
1440272653.220, 82.0, 54.3
1440272702.220, 82.2, 54.5
1440272765.770, 82.2, 53.6
1440272822.771, 82.4, 52.4
1440272893.407, 82.4, 51.2
1440272956.602, 82.4, 50.7
1440273009.705, 82.2, 51.0
1440273066.260, 82.2, 49.3
1440273122.260, 82.0, 49.2
1440273182.264, 82.0, 49.2
1440273242.269, 82.0, 49.4
1440273323.557, 82.2, 50.2
1440273373.199, 82.2, 50.5
1440273457.680, 82.0, 51.9
1440273507.488, 82.2, 52.3
1440273542.494, 82.2, 52.4
1440273609.590, 82.4, 53.4
1440273694.520, 82.4, 53.7
1440273740.243, 82.4, 53.4
1440273796.442, 82.6, 53.7
1440273842.441, 82.4, 53.7
1440273902.449, 82.6, 53.7
1440273980.186, 82.6, 53.8
1440274025.731, 82.6, 53.9
1440274096.929, 82.6, 53.9
1440274152.581, 82.6, 53.8
1440274209.679, 82.6, 53.8
1440274305.238, 82.8, 53.9
1440274325.781, 82.6, 54.0
1440274389.880, 82.6, 54.1
1440274445.430, 82.6, 54.2
1440274509.521, 82.6, 54.1
1440274580.254, 82.6, 53.7
1440274640.122, 82.6, 53.2
1440274685.672, 82.4, 52.1
1440274742.676, 82.4, 51.6
1440274809.775, 82.4, 50.4
1440274862.785, 82.4, 49.5
1440274933.431, 82.2, 48.5
